iteration,signal,kill_ts_ms,down_ts_ms,up_ts_ms,downtime_from_kill_ms,downtime_from_down_ms
89,SIGTERM,1760367018038,1760367018077,1760367018397,359,320
90,SIGTERM,1760367020401,1760367020450,1760367020751,350,301
91,SIGTERM,1760367022756,1760367022804,1760367023100,344,296
92,SIGTERM,1760367025103,1760367025136,1760367025437,334,301
93,SIGTERM,1760367027437,1760367027467,1760367027752,315,285
94,SIGTERM,1760367029755,1760367029804,1760367030092,337,288
95,SIGTERM,1760367032094,1760367032131,1760367032455,361,324
96,SIGTERM,1760367034458,1760367034514,1760367034828,370,314
97,SIGTERM,1760367036833,1760367036886,1760367037194,361,308
98,SIGTERM,1760367039196,1760367039252,1760367039546,350,294
99,SIGTERM,1760367041547,1760367041582,1760367041879,332,297
100,SIGTERM,1760367043884,1760367043931,1760367044242,358,311
1,SIGKILL,1760367046247,1760367046467,1760367046638,391,171
2,SIGKILL,1760367048643,1760367048851,1760367049061,418,210
3,SIGKILL,1760367051065,1760367051293,1760367051466,401,173
4,SIGKILL,1760367053471,1760367053667,1760367053824,353,157
5,SIGKILL,1760367055829,1760367056049,1760367056220,391,171
6,SIGKILL,1760367058224,1760367058449,1760367058623,399,174
7,SIGKILL,1760367060626,1760367060845,1760367061009,383,164
8,SIGKILL,1760367063014,1760367063236,1760367063392,378,156
9,SIGKILL,1760367065396,1760367065607,1760367065768,372,161
10,SIGKILL,1760367067771,1760367067984,1760367068143,372,159
11,SIGKILL,1760367070149,1760367070383,1760367070547,398,164
12,SIGKILL,1760367072549,1760367072746,1760367072912,363,166
13,SIGKILL,1760367074915,1760367075141,1760367075299,384,158
14,SIGKILL,1760367077304,1760367077488,1760367077644,340,156
15,SIGKILL,1760367079646,1760367079876,1760367080038,392,162
16,SIGKILL,1760367082040,1760367082262,1760367082425,385,163
17,SIGKILL,1760367084430,1760367084628,1760367084786,356,158
18,SIGKILL,1760367086791,1760367086990,1760367087143,352,153
19,SIGKILL,1760367089146,1760367089343,1760367089499,353,156
20,SIGKILL,1760367091500,1760367091675,1760367091835,335,160
21,SIGKILL,1760367093838,1760367094058,1760367094217,379,159
22,SIGKILL,1760367096221,1760367096436,1760367096594,373,158
23,SIGKILL,1760367098595,1760367098813,1760367098964,369,151
24,SIGKILL,1760367100967,1760367101200,1760367101353,386,153
25,SIGKILL,1760367103358,1760367103600,1760367103760,402,160
26,SIGKILL,1760367105765,1760367105986,1760367106150,385,164
27,SIGKILL,1760367108154,1760367108361,1760367108517,363,156
28,SIGKILL,1760367110521,1760367110750,1760367110928,407,178
29,SIGKILL,1760367112932,1760367113133,1760367113291,359,158
