Gateway,Protocol,Mean Latency (ms),Std Dev (ms),Median Latency (ms),Min Latency (ms),Max Latency (ms),Iterations
HAPROXY,Http,180.2,9.1,181.0,157,202,100
HAPROXY,Grpc,320.2,277.5,244.0,216,1406,100
TRAEFIK,Http,202.9,106.5,180.0,55,552,100
TRAEFIK,Grpc,210.5,104.7,176.5,54,707,100
TYK,Http,572.8,296.2,612.5,58,1046,100
TYK,Grpc,533.6,293.7,527.5,60,1039,100
NGINX,Http,218.8,29.7,234.5,151,257,100
NGINX,Grpc,335.0,299.8,239.0,208,1416,100
