iteration,gateway,signal,down_ts_ms,up_ts_ms,downtime_ms
99,tyk,SIGTERM,1764355607395,1764355609743,2348
100,tyk,SIGTERM,1764355611797,1764355614237,2440
1,tyk,SIGKILL,1764355616453,1764355617739,1286
2,tyk,SIGKILL,1764355619924,1764355621212,1288
3,tyk,SIGKILL,1764355624416,1764355625738,1322
4,tyk,SIGKILL,1764355627942,1764355629207,1265
5,tyk,SIGKILL,1764355631358,1764355632598,1240
6,tyk,SIGKILL,1764355635759,1764355637033,1274
7,tyk,SIGKILL,1764355639228,1764355640517,1289
8,tyk,SIGKILL,1764355642707,1764355643997,1290
9,tyk,SIGKILL,1764355646180,1764355647467,1287
10,tyk,SIGKILL,1764355649675,1764355650949,1274
11,tyk,SIGKILL,1764355653123,1764355654358,1235
12,tyk,SIGKILL,1764355656580,1764355657867,1287
13,tyk,SIGKILL,1764355660038,1764355661260,1222
14,tyk,SIGKILL,1764355663448,1764355664730,1282
15,tyk,SIGKILL,1764355666926,1764355668231,1305
16,tyk,SIGKILL,1764355670415,1764355671651,1236
17,tyk,SIGKILL,1764355673840,1764355675078,1238
18,tyk,SIGKILL,1764355677267,1764355678558,1291
19,tyk,SIGKILL,1764355680767,1764355682009,1242
20,tyk,SIGKILL,1764355684199,1764355685472,1273
21,tyk,SIGKILL,1764355688665,1764355689949,1284
22,tyk,SIGKILL,1764355692135,1764355693436,1301
23,tyk,SIGKILL,1764355695625,1764355696898,1273
24,tyk,SIGKILL,1764355699094,1764355700370,1276
25,tyk,SIGKILL,1764355703559,1764355704867,1308
26,tyk,SIGKILL,1764355707041,1764355708282,1241
27,tyk,SIGKILL,1764355710461,1764355711688,1227
28,tyk,SIGKILL,1764355713869,1764355715150,1281
29,tyk,SIGKILL,1764355718338,1764355719657,1319
30,tyk,SIGKILL,1764355721831,1764355723078,1247
31,tyk,SIGKILL,1764355725251,1764355726528,1277
32,tyk,SIGKILL,1764355728751,1764355730027,1276
33,tyk,SIGKILL,1764355732220,1764355733512,1292
34,tyk,SIGKILL,1764355735695,1764355736978,1283
35,tyk,SIGKILL,1764355740136,1764355741437,1301
36,tyk,SIGKILL,1764355744622,1764355745949,1327
37,tyk,SIGKILL,1764355748136,1764355749407,1271
38,tyk,SIGKILL,1764355751591,1764355752820,1229
39,tyk,SIGKILL,1764355754994,1764355756247,1253
40,tyk,SIGKILL,1764355759437,1764355760701,1264
41,tyk,SIGKILL,1764355763889,1764355765196,1307
