iteration,gateway,signal,down_ts_ms,up_ts_ms,downtime_ms
3,traefik,SIGKILL,1764006695388,1764006695675,287
4,traefik,SIGKILL,1764006697844,1764006698327,483
5,traefik,SIGKILL,1764006700546,1764006701021,475
6,traefik,SIGKILL,1764006703226,1764006703821,595
7,traefik,SIGKILL,1764006705998,1764006706425,427
8,traefik,SIGKILL,1764006708624,1764006709022,398
9,traefik,SIGKILL,1764006711209,1764006711499,290
10,traefik,SIGKILL,1764006713714,1764006714199,485
11,traefik,SIGKILL,1764006716409,1764006716721,312
12,traefik,SIGKILL,1764006718900,1764006719328,428
13,traefik,SIGKILL,1764006721526,1764006722178,652
14,traefik,SIGKILL,1764006724371,1764006724862,491
15,traefik,SIGKILL,1764006727029,1764006727558,529
16,traefik,SIGKILL,1764006730736,1764006731020,284
17,traefik,SIGKILL,1764006733224,1764006733641,417
18,traefik,SIGKILL,1764006735824,1764006736400,576
19,traefik,SIGKILL,1764006739621,1764006739983,362
20,traefik,SIGKILL,1764006742167,1764006742753,586
21,traefik,SIGKILL,1764006744904,1764006745246,342
22,traefik,SIGKILL,1764006747420,1764006747758,338
23,traefik,SIGKILL,1764006749960,1764006750665,705
24,traefik,SIGKILL,1764006752867,1764006753160,293
25,traefik,SIGKILL,1764006755350,1764006755710,360
26,traefik,SIGKILL,1764006757914,1764006758228,314
27,traefik,SIGKILL,1764006760446,1764006760761,315
28,traefik,SIGKILL,1764006762987,1764006763473,486
29,traefik,SIGKILL,1764006765673,1764006766125,452
30,traefik,SIGKILL,1764006768326,1764006768746,420
31,traefik,SIGKILL,1764006770933,1764006771235,302
32,traefik,SIGKILL,1764006773435,1764006773788,353
33,traefik,SIGKILL,1764006776967,1764006777661,694
34,traefik,SIGKILL,1764006779818,1764006780244,426
35,traefik,SIGKILL,1764006782431,1764006783301,870
36,traefik,SIGKILL,1764006785473,1764006785826,353
37,traefik,SIGKILL,1764006788008,1764006788311,303
38,traefik,SIGKILL,1764006790475,1764006790712,237
39,traefik,SIGKILL,1764006792916,1764006793292,376
40,traefik,SIGKILL,1764006795500,1764006795977,477
41,traefik,SIGKILL,1764006798171,1764006798594,423
42,traefik,SIGKILL,1764006800785,1764006801452,667
43,traefik,SIGKILL,1764006803660,1764006804087,427
44,traefik,SIGKILL,1764006806258,1764006806621,363
45,traefik,SIGKILL,1764006808821,1764006809179,358
46,traefik,SIGKILL,1764006811393,1764006811872,479
47,traefik,SIGKILL,1764006814059,1764006814376,317
48,traefik,SIGKILL,1764006816538,1764006817128,590
49,traefik,SIGKILL,1764006819298,1764006819605,307
50,traefik,SIGKILL,1764006821815,1764006822185,370
51,traefik,SIGKILL,1764006825357,1764006825813,456
52,traefik,SIGKILL,1764006828012,1764006828491,479
53,traefik,SIGKILL,1764006830680,1764006831371,691
54,traefik,SIGKILL,1764006833568,1764006833937,369
55,traefik,SIGKILL,1764006836128,1764006836605,477
