iteration,gateway,signal,down_ts_ms,up_ts_ms,downtime_ms
99,tyk,SIGTERM,1764007624718,1764007626108,1390
100,tyk,SIGTERM,1764007628147,1764007629489,1342
1,tyk,SIGKILL,1764007631682,1764007631955,273
2,tyk,SIGKILL,1764007634120,1764007634376,256
3,tyk,SIGKILL,1764007636597,1764007636855,258
4,tyk,SIGKILL,1764007639025,1764007639272,247
5,tyk,SIGKILL,1764007641448,1764007641680,232
6,tyk,SIGKILL,1764007643851,1764007644105,254
7,tyk,SIGKILL,1764007646314,1764007646571,257
8,tyk,SIGKILL,1764007648754,1764007648986,232
9,tyk,SIGKILL,1764007651162,1764007651486,324
10,tyk,SIGKILL,1764007653682,1764007653923,241
11,tyk,SIGKILL,1764007656096,1764007656328,232
12,tyk,SIGKILL,1764007658506,1764007658764,258
13,tyk,SIGKILL,1764007660938,1764007661159,221
14,tyk,SIGKILL,1764007663328,1764007663569,241
15,tyk,SIGKILL,1764007665732,1764007665984,252
16,tyk,SIGKILL,1764007668181,1764007668438,257
17,tyk,SIGKILL,1764007670648,1764007670896,248
18,tyk,SIGKILL,1764007673092,1764007673322,230
19,tyk,SIGKILL,1764007675509,1764007675759,250
20,tyk,SIGKILL,1764007677942,1764007678175,233
21,tyk,SIGKILL,1764007680368,1764007680628,260
22,tyk,SIGKILL,1764007683812,1764007684084,272
23,tyk,SIGKILL,1764007686258,1764007686483,225
24,tyk,SIGKILL,1764007688687,1764007688944,257
25,tyk,SIGKILL,1764007691147,1764007691389,242
26,tyk,SIGKILL,1764007693581,1764007693835,254
27,tyk,SIGKILL,1764007696018,1764007696268,250
28,tyk,SIGKILL,1764007698467,1764007698722,255
29,tyk,SIGKILL,1764007700892,1764007701148,256
30,tyk,SIGKILL,1764007703325,1764007703560,235
31,tyk,SIGKILL,1764007705743,1764007705999,256
32,tyk,SIGKILL,1764007708217,1764007708440,223
33,tyk,SIGKILL,1764007710621,1764007710887,266
34,tyk,SIGKILL,1764007713089,1764007713343,254
35,tyk,SIGKILL,1764007715563,1764007715803,240
36,tyk,SIGKILL,1764007719005,1764007719286,281
37,tyk,SIGKILL,1764007721451,1764007721703,252
38,tyk,SIGKILL,1764007723926,1764007724179,253
39,tyk,SIGKILL,1764007726340,1764007726590,250
40,tyk,SIGKILL,1764007728804,1764007729060,256
41,tyk,SIGKILL,1764007731249,1764007731498,249
42,tyk,SIGKILL,1764007733685,1764007733923,238
43,tyk,SIGKILL,1764007736101,1764007736345,244
44,tyk,SIGKILL,1764007738538,1764007738790,252
45,tyk,SIGKILL,1764007740966,1764007741227,261
46,tyk,SIGKILL,1764007743405,1764007743662,257
47,tyk,SIGKILL,1764007745831,1764007746069,238
48,tyk,SIGKILL,1764007748255,1764007748482,227
49,tyk,SIGKILL,1764007750683,1764007750977,294
50,tyk,SIGKILL,1764007753149,1764007753390,241
51,tyk,SIGKILL,1764007755583,1764007755816,233
52,tyk,SIGKILL,1764007757980,1764007758245,265
53,tyk,SIGKILL,1764007760410,1764007760658,248
54,tyk,SIGKILL,1764007762835,1764007763124,289
55,tyk,SIGKILL,1764007765293,1764007765544,251
56,tyk,SIGKILL,1764007767756,1764007768008,252
57,tyk,SIGKILL,1764007770188,1764007770439,251
58,tyk,SIGKILL,1764007772637,1764007772863,226
59,tyk,SIGKILL,1764007776058,1764007776362,304
60,tyk,SIGKILL,1764007778538,1764007778803,265
61,tyk,SIGKILL,1764007780949,1764007781194,245
62,tyk,SIGKILL,1764007783373,1764007783634,261
63,tyk,SIGKILL,1764007785835,1764007786067,232
64,tyk,SIGKILL,1764007788249,1764007788500,251
65,tyk,SIGKILL,1764007790696,1764007790949,253
66,tyk,SIGKILL,1764007793178,1764007793451,273
67,tyk,SIGKILL,1764007795637,1764007795890,253
68,tyk,SIGKILL,1764007798094,1764007798362,268
69,tyk,SIGKILL,1764007800552,1764007800802,250
70,tyk,SIGKILL,1764007802979,1764007803213,234
71,tyk,SIGKILL,1764007805376,1764007805617,241
72,tyk,SIGKILL,1764007808810,1764007809070,260
73,tyk,SIGKILL,1764007811256,1764007811575,319
74,tyk,SIGKILL,1764007813787,1764007814030,243
75,tyk,SIGKILL,1764007817214,1764007817487,273
76,tyk,SIGKILL,1764007819697,1764007819951,254
77,tyk,SIGKILL,1764007822144,1764007822394,250
78,tyk,SIGKILL,1764007824586,1764007824836,250
79,tyk,SIGKILL,1764007827042,1764007827295,253
80,tyk,SIGKILL,1764007829500,1764007829750,250
81,tyk,SIGKILL,1764007831926,1764007832172,246
82,tyk,SIGKILL,1764007834347,1764007834590,243
83,tyk,SIGKILL,1764007836776,1764007837011,235
84,tyk,SIGKILL,1764007839209,1764007839448,239
85,tyk,SIGKILL,1764007841647,1764007841889,242
86,tyk,SIGKILL,1764007844084,1764007844325,241
87,tyk,SIGKILL,1764007846524,1764007846771,247
88,tyk,SIGKILL,1764007848951,1764007849200,249
89,tyk,SIGKILL,1764007851403,1764007851656,253
90,tyk,SIGKILL,1764007853846,1764007854092,246
91,tyk,SIGKILL,1764007856275,1764007856517,242
92,tyk,SIGKILL,1764007858693,1764007858954,261
93,tyk,SIGKILL,1764007861132,1764007861385,253
94,tyk,SIGKILL,1764007864569,1764007864858,289
95,tyk,SIGKILL,1764007867038,1764007867267,229
96,tyk,SIGKILL,1764007869431,1764007869677,246
97,tyk,SIGKILL,1764007871874,1764007872122,248
98,tyk,SIGKILL,1764007874293,1764007874526,233
99,tyk,SIGKILL,1764007876707,1764007876953,246
100,tyk,SIGKILL,1764007879106,1764007879358,252
