iteration,gateway,signal,down_ts_ms,up_ts_ms,downtime_ms
3,caddy,SIGKILL,1764005696760,1764005696948,188
4,caddy,SIGKILL,1764005699142,1764005699332,190
5,caddy,SIGKILL,1764005701525,1764005701709,184
6,caddy,SIGKILL,1764005703917,1764005704123,206
7,caddy,SIGKILL,1764005706323,1764005706512,189
8,caddy,SIGKILL,1764005708664,1764005708849,185
9,caddy,SIGKILL,1764005711038,1764005711238,200
10,caddy,SIGKILL,1764005713445,1764005713637,192
11,caddy,SIGKILL,1764005715822,1764005716018,196
12,caddy,SIGKILL,1764005718211,1764005718394,183
13,caddy,SIGKILL,1764005720586,1764005720766,180
14,caddy,SIGKILL,1764005722969,1764005723180,211
15,caddy,SIGKILL,1764005725387,1764005725580,193
16,caddy,SIGKILL,1764005727770,1764005727966,196
17,caddy,SIGKILL,1764005730144,1764005730331,187
18,caddy,SIGKILL,1764005732522,1764005732702,180
19,caddy,SIGKILL,1764005734893,1764005735070,177
20,caddy,SIGKILL,1764005737288,1764005737479,191
21,caddy,SIGKILL,1764005739653,1764005739841,188
22,caddy,SIGKILL,1764005742041,1764005742210,169
23,caddy,SIGKILL,1764005744398,1764005744587,189
24,caddy,SIGKILL,1764005746798,1764005746995,197
25,caddy,SIGKILL,1764005749173,1764005749348,175
26,caddy,SIGKILL,1764005751516,1764005751692,176
27,caddy,SIGKILL,1764005753878,1764005754067,189
28,caddy,SIGKILL,1764005756248,1764005756443,195
29,caddy,SIGKILL,1764005759635,1764005759886,251
30,caddy,SIGKILL,1764005762081,1764005762256,175
31,caddy,SIGKILL,1764005764473,1764005764661,188
32,caddy,SIGKILL,1764005766876,1764005767049,173
33,caddy,SIGKILL,1764005769239,1764005769442,203
34,caddy,SIGKILL,1764005771644,1764005771828,184
35,caddy,SIGKILL,1764005774032,1764005774223,191
36,caddy,SIGKILL,1764005776409,1764005776626,217
37,caddy,SIGKILL,1764005779776,1764005779981,205
38,caddy,SIGKILL,1764005782152,1764005782349,197
39,caddy,SIGKILL,1764005784532,1764005784712,180
40,caddy,SIGKILL,1764005786893,1764005787075,182
41,caddy,SIGKILL,1764005790255,1764005790498,243
42,caddy,SIGKILL,1764005792671,1764005792855,184
43,caddy,SIGKILL,1764005795042,1764005795236,194
44,caddy,SIGKILL,1764005797423,1764005797614,191
45,caddy,SIGKILL,1764005799797,1764005799995,198
46,caddy,SIGKILL,1764005802182,1764005802376,194
47,caddy,SIGKILL,1764005804572,1764005804773,201
48,caddy,SIGKILL,1764005806977,1764005807184,207
49,caddy,SIGKILL,1764005809409,1764005809601,192
50,caddy,SIGKILL,1764005811807,1764005811978,171
51,caddy,SIGKILL,1764005814174,1764005814366,192
52,caddy,SIGKILL,1764005816548,1764005816744,196
53,caddy,SIGKILL,1764005818926,1764005819102,176
54,caddy,SIGKILL,1764005821314,1764005821511,197
55,caddy,SIGKILL,1764005823685,1764005823859,174
56,caddy,SIGKILL,1764005826062,1764005826233,171
57,caddy,SIGKILL,1764005829426,1764005829653,227
58,caddy,SIGKILL,1764005831841,1764005832036,195
59,caddy,SIGKILL,1764005835211,1764005835436,225
