iteration,gateway,signal,down_ts_ms,up_ts_ms,downtime_ms
99,haproxy,SIGTERM,1764006173290,1764006173600,310
100,haproxy,SIGTERM,1764006175650,1764006175981,331
1,haproxy,SIGKILL,1764006178209,1764006178410,201
2,haproxy,SIGKILL,1764006180597,1764006180797,200
3,haproxy,SIGKILL,1764006182974,1764006183162,188
4,haproxy,SIGKILL,1764006185360,1764006185539,179
5,haproxy,SIGKILL,1764006187706,1764006187885,179
6,haproxy,SIGKILL,1764006190074,1764006190274,200
7,haproxy,SIGKILL,1764006192463,1764006192667,204
8,haproxy,SIGKILL,1764006194857,1764006195051,194
9,haproxy,SIGKILL,1764006197257,1764006197443,186
10,haproxy,SIGKILL,1764006199607,1764006199800,193
11,haproxy,SIGKILL,1764006202027,1764006202189,162
12,haproxy,SIGKILL,1764006204392,1764006204580,188
13,haproxy,SIGKILL,1764006206801,1764006207004,203
14,haproxy,SIGKILL,1764006209197,1764006209381,184
15,haproxy,SIGKILL,1764006211573,1764006211754,181
16,haproxy,SIGKILL,1764006214955,1764006215165,210
17,haproxy,SIGKILL,1764006217349,1764006217548,199
18,haproxy,SIGKILL,1764006219722,1764006219910,188
19,haproxy,SIGKILL,1764006222094,1764006222276,182
20,haproxy,SIGKILL,1764006224469,1764006224667,198
21,haproxy,SIGKILL,1764006227846,1764006228059,213
22,haproxy,SIGKILL,1764006230272,1764006230469,197
23,haproxy,SIGKILL,1764006232661,1764006232866,205
24,haproxy,SIGKILL,1764006235040,1764006235227,187
25,haproxy,SIGKILL,1764006237425,1764006237636,211
26,haproxy,SIGKILL,1764006239831,1764006240013,182
27,haproxy,SIGKILL,1764006242182,1764006242360,178
28,haproxy,SIGKILL,1764006244566,1764006244736,170
29,haproxy,SIGKILL,1764006246916,1764006247112,196
30,haproxy,SIGKILL,1764006249305,1764006249493,188
31,haproxy,SIGKILL,1764006251688,1764006251885,197
32,haproxy,SIGKILL,1764006254019,1764006254210,191
33,haproxy,SIGKILL,1764006256367,1764006256560,193
34,haproxy,SIGKILL,1764006258719,1764006258906,187
35,haproxy,SIGKILL,1764006261104,1764006261292,188
36,haproxy,SIGKILL,1764006263474,1764006263658,184
37,haproxy,SIGKILL,1764006265834,1764006266023,189
38,haproxy,SIGKILL,1764006268212,1764006268415,203
39,haproxy,SIGKILL,1764006270610,1764006270811,201
40,haproxy,SIGKILL,1764006273023,1764006273216,193
41,haproxy,SIGKILL,1764006275438,1764006275636,198
42,haproxy,SIGKILL,1764006277847,1764006278042,195
43,haproxy,SIGKILL,1764006280245,1764006280454,209
44,haproxy,SIGKILL,1764006282655,1764006282837,182
45,haproxy,SIGKILL,1764006285047,1764006285241,194
46,haproxy,SIGKILL,1764006287430,1764006287627,197
47,haproxy,SIGKILL,1764006289809,1764006289996,187
48,haproxy,SIGKILL,1764006292188,1764006292376,188
49,haproxy,SIGKILL,1764006294570,1764006294751,181
50,haproxy,SIGKILL,1764006296936,1764006297138,202
51,haproxy,SIGKILL,1764006299341,1764006299526,185
52,haproxy,SIGKILL,1764006301718,1764006301909,191
53,haproxy,SIGKILL,1764006304063,1764006304273,210
54,haproxy,SIGKILL,1764006306482,1764006306684,202
55,haproxy,SIGKILL,1764006308865,1764006309042,177
56,haproxy,SIGKILL,1764006311221,1764006311412,191
57,haproxy,SIGKILL,1764006313583,1764006313786,203
58,haproxy,SIGKILL,1764006315979,1764006316182,203
59,haproxy,SIGKILL,1764006318332,1764006318539,207
60,haproxy,SIGKILL,1764006320743,1764006320940,197
61,haproxy,SIGKILL,1764006323117,1764006323295,178
62,haproxy,SIGKILL,1764006325484,1764006325670,186
63,haproxy,SIGKILL,1764006327858,1764006328059,201
64,haproxy,SIGKILL,1764006330241,1764006330427,186
65,haproxy,SIGKILL,1764006332591,1764006332775,184
66,haproxy,SIGKILL,1764006334961,1764006335158,197
67,haproxy,SIGKILL,1764006337349,1764006337529,180
68,haproxy,SIGKILL,1764006339707,1764006339893,186
69,haproxy,SIGKILL,1764006343099,1764006343316,217
70,haproxy,SIGKILL,1764006345480,1764006345680,200
71,haproxy,SIGKILL,1764006347887,1764006348079,192
72,haproxy,SIGKILL,1764006350272,1764006350464,192
73,haproxy,SIGKILL,1764006352647,1764006352839,192
74,haproxy,SIGKILL,1764006356044,1764006356269,225
75,haproxy,SIGKILL,1764006358461,1764006358649,188
76,haproxy,SIGKILL,1764006360828,1764006361017,189
77,haproxy,SIGKILL,1764006363220,1764006363416,196
78,haproxy,SIGKILL,1764006366618,1764006366839,221
79,haproxy,SIGKILL,1764006369025,1764006369203,178
80,haproxy,SIGKILL,1764006371380,1764006371563,183
81,haproxy,SIGKILL,1764006373755,1764006373951,196
82,haproxy,SIGKILL,1764006376124,1764006376328,204
83,haproxy,SIGKILL,1764006378537,1764006378730,193
84,haproxy,SIGKILL,1764006380916,1764006381098,182
85,haproxy,SIGKILL,1764006383313,1764006383510,197
86,haproxy,SIGKILL,1764006385719,1764006385918,199
87,haproxy,SIGKILL,1764006388116,1764006388306,190
88,haproxy,SIGKILL,1764006390530,1764006390725,195
89,haproxy,SIGKILL,1764006392908,1764006393109,201
90,haproxy,SIGKILL,1764006395328,1764006395528,200
91,haproxy,SIGKILL,1764006397713,1764006397913,200
92,haproxy,SIGKILL,1764006400092,1764006400273,181
93,haproxy,SIGKILL,1764006402433,1764006402613,180
94,haproxy,SIGKILL,1764006404783,1764006404973,190
95,haproxy,SIGKILL,1764006407156,1764006407354,198
96,haproxy,SIGKILL,1764006409552,1764006409730,178
97,haproxy,SIGKILL,1764006411912,1764006412103,191
98,haproxy,SIGKILL,1764006414280,1764006414480,200
99,haproxy,SIGKILL,1764006416646,1764006416839,193
100,haproxy,SIGKILL,1764006419028,1764006419204,176
