iteration,gateway,signal,down_ts_ms,up_ts_ms,downtime_ms
3,nginx,SIGKILL,1764174644560,1764174644670,110
4,nginx,SIGKILL,1764174646860,1764174647041,181
5,nginx,SIGKILL,1764174649261,1764174649409,148
6,nginx,SIGKILL,1764174652637,1764174652850,213
7,nginx,SIGKILL,1764174655082,1764174655228,146
8,nginx,SIGKILL,1764174657471,1764174657609,138
9,nginx,SIGKILL,1764174659847,1764174659990,143
10,nginx,SIGKILL,1764174662191,1764174662316,125
11,nginx,SIGKILL,1764174664585,1764174664698,113
12,nginx,SIGKILL,1764174666894,1764174667019,125
13,nginx,SIGKILL,1764174669216,1764174669360,144
14,nginx,SIGKILL,1764174672598,1764174672771,173
15,nginx,SIGKILL,1764174674976,1764174675094,118
16,nginx,SIGKILL,1764174677312,1764174677433,121
17,nginx,SIGKILL,1764174680697,1764174680865,168
18,nginx,SIGKILL,1764174683095,1764174683234,139
19,nginx,SIGKILL,1764174685465,1764174685614,149
20,nginx,SIGKILL,1764174687836,1764174687974,138
21,nginx,SIGKILL,1764174691193,1764174691343,150
22,nginx,SIGKILL,1764174694531,1764174694681,150
23,nginx,SIGKILL,1764174696883,1764174697017,134
24,nginx,SIGKILL,1764174699233,1764174699362,129
25,nginx,SIGKILL,1764174701549,1764174701683,134
26,nginx,SIGKILL,1764174703893,1764174704013,120
27,nginx,SIGKILL,1764174706225,1764174706352,127
28,nginx,SIGKILL,1764174708590,1764174708726,136
29,nginx,SIGKILL,1764174710958,1764174711097,139
30,nginx,SIGKILL,1764174713277,1764174713427,150
31,nginx,SIGKILL,1764174716641,1764174716782,141
32,nginx,SIGKILL,1764174718969,1764174719097,128
33,nginx,SIGKILL,1764174721292,1764174721425,133
34,nginx,SIGKILL,1764174723648,1764174723774,126
35,nginx,SIGKILL,1764174725991,1764174726138,147
36,nginx,SIGKILL,1764174728376,1764174728513,137
37,nginx,SIGKILL,1764174731733,1764174731884,151
38,nginx,SIGKILL,1764174735081,1764174735207,126
39,nginx,SIGKILL,1764174737420,1764174737545,125
40,nginx,SIGKILL,1764174739765,1764174739887,122
41,nginx,SIGKILL,1764174742086,1764174742222,136
42,nginx,SIGKILL,1764174744428,1764174744564,136
43,nginx,SIGKILL,1764174746792,1764174746909,117
44,nginx,SIGKILL,1764174749111,1764174749261,150
45,nginx,SIGKILL,1764174751510,1764174751628,118
46,nginx,SIGKILL,1764174754836,1764174754978,142
47,nginx,SIGKILL,1764174757209,1764174757335,126
48,nginx,SIGKILL,1764174759536,1764174759666,130
49,nginx,SIGKILL,1764174761877,1764174762024,147
50,nginx,SIGKILL,1764174764213,1764174764337,124
51,nginx,SIGKILL,1764174766572,1764174766713,141
52,nginx,SIGKILL,1764174768942,1764174769060,118
53,nginx,SIGKILL,1764174771261,1764174771403,142
54,nginx,SIGKILL,1764174773621,1764174773749,128
55,nginx,SIGKILL,1764174775990,1764174776098,108
56,nginx,SIGKILL,1764174778287,1764174778440,153
57,nginx,SIGKILL,1764174780647,1764174780789,142
58,nginx,SIGKILL,1764174783022,1764174783139,117
59,nginx,SIGKILL,1764174786340,1764174786464,124
60,nginx,SIGKILL,1764174788688,1764174788816,128
61,nginx,SIGKILL,1764174791057,1764174791189,132
62,nginx,SIGKILL,1764174793396,1764174793524,128
63,nginx,SIGKILL,1764174795742,1764174795861,119
64,nginx,SIGKILL,1764174798057,1764174798194,137
65,nginx,SIGKILL,1764174800420,1764174800571,151
66,nginx,SIGKILL,1764174802804,1764174802939,135
67,nginx,SIGKILL,1764174805136,1764174805269,133
68,nginx,SIGKILL,1764174807513,1764174807669,156
69,nginx,SIGKILL,1764174809859,1764174809993,134
70,nginx,SIGKILL,1764174812222,1764174812353,131
71,nginx,SIGKILL,1764174814541,1764174814650,109
72,nginx,SIGKILL,1764174816830,1764174816955,125
73,nginx,SIGKILL,1764174820154,1764174820307,153
74,nginx,SIGKILL,1764174822536,1764174822675,139
75,nginx,SIGKILL,1764174824890,1764174825014,124
76,nginx,SIGKILL,1764174827192,1764174827331,139
77,nginx,SIGKILL,1764174829568,1764174829705,137
78,nginx,SIGKILL,1764174831907,1764174832033,126
79,nginx,SIGKILL,1764174834224,1764174834337,113
80,nginx,SIGKILL,1764174836542,1764174836668,126
81,nginx,SIGKILL,1764174838908,1764174839026,118
82,nginx,SIGKILL,1764174841225,1764174841356,131
83,nginx,SIGKILL,1764174843551,1764174843674,123
84,nginx,SIGKILL,1764174845902,1764174846029,127
85,nginx,SIGKILL,1764174848268,1764174848412,144
86,nginx,SIGKILL,1764174850631,1764174850767,136
87,nginx,SIGKILL,1764174852974,1764174853109,135
88,nginx,SIGKILL,1764174855343,1764174855465,122
89,nginx,SIGKILL,1764174857682,1764174857815,133
90,nginx,SIGKILL,1764174860040,1764174860176,136
91,nginx,SIGKILL,1764174862387,1764174862519,132
92,nginx,SIGKILL,1764174864753,1764174864862,109
93,nginx,SIGKILL,1764174867073,1764174867212,139
94,nginx,SIGKILL,1764174869437,1764174869561,124
95,nginx,SIGKILL,1764174871794,1764174871913,119
96,nginx,SIGKILL,1764174874142,1764174874265,123
97,nginx,SIGKILL,1764174876482,1764174876622,140
98,nginx,SIGKILL,1764174878829,1764174878964,135
99,nginx,SIGKILL,1764174881204,1764174881347,143
100,nginx,SIGKILL,1764174883553,1764174883682,129
